chamber_id,indicator_id,country_context,supporting_evidence
AUS_up,I1,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
AUS_up,I2,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
AUS_up,I3,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
AUS_up,I4,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
AUS_up,I5,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
AUS_up,I6,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
AUS_up,I7,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
AUS_up,I8,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
AUS_up,I9,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I10,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
AUS_up,I11,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
AUS_up,I12,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I13,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
AUS_up,I14,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
AUS_up,I15,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I16,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
AUS_up,I17,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
AUS_up,I18,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
AUS_up,I19,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
AUS_up,I20,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I21,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I22,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
AUS_up,I23,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
AUS_up,I24,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
AUS_up,I25,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports."
AUS_up,I26,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
AUS_up,I27,Practice varies by session; not consistently applied.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
AUS_up,I28,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
AUS_up,I29,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
AUS_up,I30,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
AUS_up,I31,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
