response_id,chamber_id,question_id,selected_option_ids
IDN_uni_0409,IDN_uni,Q1.1,O0001
IDN_uni_0410,IDN_uni,Q1.2,O0005
IDN_uni_0411,IDN_uni,Q2.1,O0008
IDN_uni_0412,IDN_uni,Q2.2,O0010
IDN_uni_0413,IDN_uni,Q3.1,O0013
IDN_uni_0414,IDN_uni,Q3.2,O0018
IDN_uni_0415,IDN_uni,Q4.1,O0019
IDN_uni_0416,IDN_uni,Q4.2,O0023
IDN_uni_0417,IDN_uni,Q5.1,O0025
IDN_uni_0418,IDN_uni,Q5.2,O0028
IDN_uni_0419,IDN_uni,Q6.1,O0031
IDN_uni_0420,IDN_uni,Q6.2,O0034
IDN_uni_0421,IDN_uni,Q7.1,O0038
IDN_uni_0422,IDN_uni,Q7.2,O0040
IDN_uni_0423,IDN_uni,Q8.1,O0043
IDN_uni_0424,IDN_uni,Q8.2,O0047
IDN_uni_0425,IDN_uni,Q9.1,O0050
IDN_uni_0426,IDN_uni,Q9.2,O0053
IDN_uni_0427,IDN_uni,Q10.1,O0055;O0056;O0057
IDN_uni_0428,IDN_uni,Q10.2,O0061
IDN_uni_0429,IDN_uni,Q10.3,O0065
IDN_uni_0430,IDN_uni,Q11.1,O0067
IDN_uni_0431,IDN_uni,Q11.2,O0073
IDN_uni_0432,IDN_uni,Q11.3,O0077
IDN_uni_0433,IDN_uni,Q12.1,O0079
IDN_uni_0434,IDN_uni,Q12.2,O0083
IDN_uni_0435,IDN_uni,Q13.1,O0086
IDN_uni_0436,IDN_uni,Q13.2,O0088
IDN_uni_0437,IDN_uni,Q14.1,O0092
IDN_uni_0438,IDN_uni,Q15.1,O0094
IDN_uni_0439,IDN_uni,Q15.2,O0099
IDN_uni_0440,IDN_uni,Q16.1,O0103
IDN_uni_0441,IDN_uni,Q16.2,O0105
IDN_uni_0442,IDN_uni,Q17.1,O0109
IDN_uni_0443,IDN_uni,Q17.2,O0113
IDN_uni_0444,IDN_uni,Q17.3,O0119
IDN_uni_0445,IDN_uni,Q18.1,O0120
IDN_uni_0446,IDN_uni,Q18.2,O0125
IDN_uni_0447,IDN_uni,Q18.3,O0128
IDN_uni_0448,IDN_uni,Q19.1,O0132
IDN_uni_0449,IDN_uni,Q20.1,O0135
IDN_uni_0450,IDN_uni,Q20.2,O0138
IDN_uni_0451,IDN_uni,Q21.1,O0143
IDN_uni_0452,IDN_uni,Q21.2,O0147
IDN_uni_0453,IDN_uni,Q22.1,O0149
IDN_uni_0454,IDN_uni,Q22.2,O0152
IDN_uni_0455,IDN_uni,Q22.3,O0157
IDN_uni_0456,IDN_uni,Q23.1,O0163
IDN_uni_0457,IDN_uni,Q23.2,O0164
IDN_uni_0458,IDN_uni,Q23.3,O0169
IDN_uni_0459,IDN_uni,Q24.1,O0173
IDN_uni_0460,IDN_uni,Q24.2,O0178
IDN_uni_0461,IDN_uni,Q25.1,O0181;O0182
IDN_uni_0462,IDN_uni,Q25.2,O0188
IDN_uni_0463,IDN_uni,Q25.3,O0191
IDN_uni_0464,IDN_uni,Q26.1,O0194
IDN_uni_0465,IDN_uni,Q26.2,O0198
IDN_uni_0466,IDN_uni,Q26.3,O0203
IDN_uni_0467,IDN_uni,Q27.1,O0205;O0206;O0207;O0208
IDN_uni_0468,IDN_uni,Q27.2,O0210
IDN_uni_0469,IDN_uni,Q28.1,O0215
IDN_uni_0470,IDN_uni,Q29.1,O0217;O0218;O0219
IDN_uni_0471,IDN_uni,Q29.2,O0223
IDN_uni_0472,IDN_uni,Q30.1,O0226
IDN_uni_0473,IDN_uni,Q30.2,O0229
IDN_uni_0474,IDN_uni,Q30.3,O0234
IDN_uni_0475,IDN_uni,Q31.1,O0237
IDN_uni_0476,IDN_uni,Q31.2,O0241
