chamber_id,indicator_id,country_context,supporting_evidence
IDN_uni,I1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
IDN_uni,I2,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
IDN_uni,I3,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
IDN_uni,I4,Publicly available on the parliament's official website.,"See parliament website, official publications section.; No public documentation found at time of assessment."
IDN_uni,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
IDN_uni,I6,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
IDN_uni,I7,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; See parliament website, official publications section."
IDN_uni,I8,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
IDN_uni,I9,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
IDN_uni,I10,"Available in the national language only, no official translation.","See parliament website, official publications section.; Illustrative placeholder — not independently verified."
IDN_uni,I11,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
IDN_uni,I12,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
IDN_uni,I13,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
IDN_uni,I14,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
IDN_uni,I15,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
IDN_uni,I16,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
IDN_uni,I17,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
IDN_uni,I18,"Available in the national language only, no official translation.","Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
IDN_uni,I19,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
IDN_uni,I20,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
IDN_uni,I21,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; See parliament website, official publications section."
IDN_uni,I22,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
IDN_uni,I23,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
IDN_uni,I24,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
IDN_uni,I25,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
IDN_uni,I26,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
IDN_uni,I27,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
IDN_uni,I28,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
IDN_uni,I29,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
IDN_uni,I30,Confirmed via secondary reporting; not directly verified with the secretariat.,"Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.; See parliament website, official publications section."
IDN_uni,I31,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
