chamber_id,indicator_id,country_context,supporting_evidence
JPN_up,I1,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
JPN_up,I2,Practice varies by session; not consistently applied.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
JPN_up,I3,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
JPN_up,I4,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
JPN_up,I5,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
JPN_up,I6,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
JPN_up,I7,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
JPN_up,I8,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
JPN_up,I9,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
JPN_up,I10,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; No public documentation found at time of assessment."
JPN_up,I11,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; No public documentation found at time of assessment."
JPN_up,I12,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
JPN_up,I13,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
JPN_up,I14,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
JPN_up,I15,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
JPN_up,I16,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
JPN_up,I17,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
JPN_up,I18,"Available in the national language only, no official translation.","Illustrative placeholder — not independently verified.; See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
JPN_up,I19,"Available in the national language only, no official translation.","See parliament website, official publications section."
JPN_up,I20,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
JPN_up,I21,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
JPN_up,I22,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
JPN_up,I23,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
JPN_up,I24,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
JPN_up,I25,Publicly available on the parliament's official website.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
JPN_up,I26,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
JPN_up,I27,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
JPN_up,I28,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
JPN_up,I29,Publicly available on the parliament's official website.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
JPN_up,I30,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports."
JPN_up,I31,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
