chamber_id,indicator_id,country_context,supporting_evidence
KHM_low,I1,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
KHM_low,I2,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
KHM_low,I3,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
KHM_low,I4,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
KHM_low,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
KHM_low,I6,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
KHM_low,I7,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
KHM_low,I8,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
KHM_low,I9,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
KHM_low,I10,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
KHM_low,I11,"Available in the national language only, no official translation.","Reference: most recent annual transparency report.; See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
KHM_low,I12,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
KHM_low,I13,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
KHM_low,I14,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_low,I15,Practice varies by session; not consistently applied.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
KHM_low,I16,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
KHM_low,I17,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
KHM_low,I18,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; See parliament website, official publications section.; Illustrative placeholder — not independently verified."
KHM_low,I19,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
KHM_low,I20,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
KHM_low,I21,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
KHM_low,I22,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
KHM_low,I23,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
KHM_low,I24,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
KHM_low,I25,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; No public documentation found at time of assessment.; See parliament website, official publications section."
KHM_low,I26,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Reference: most recent annual transparency report.; No public documentation found at time of assessment."
KHM_low,I27,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
KHM_low,I28,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_low,I29,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
KHM_low,I30,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report."
KHM_low,I31,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; See parliament website, official publications section."
