chamber_id,indicator_id,country_context,supporting_evidence
KHM_up,I1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
KHM_up,I2,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
KHM_up,I3,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
KHM_up,I4,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KHM_up,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
KHM_up,I6,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
KHM_up,I7,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; No public documentation found at time of assessment."
KHM_up,I8,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
KHM_up,I9,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Reference: most recent annual transparency report."
KHM_up,I10,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
KHM_up,I11,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
KHM_up,I12,"Available in the national language only, no official translation.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
KHM_up,I13,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
KHM_up,I14,Publicly available on the parliament's official website.,"See parliament website, official publications section."
KHM_up,I15,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
KHM_up,I16,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
KHM_up,I17,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
KHM_up,I18,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.; No public documentation found at time of assessment.
KHM_up,I19,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
KHM_up,I20,"Available in the national language only, no official translation.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
KHM_up,I21,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
KHM_up,I22,"Available in the national language only, no official translation.","Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
KHM_up,I23,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Reference: most recent annual transparency report."
KHM_up,I24,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
KHM_up,I25,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
KHM_up,I26,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
KHM_up,I27,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_up,I28,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
KHM_up,I29,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
KHM_up,I30,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
KHM_up,I31,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
