chamber_id,indicator_id,country_context,supporting_evidence
KOR_uni,I1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
KOR_uni,I2,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
KOR_uni,I3,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
KOR_uni,I4,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
KOR_uni,I5,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
KOR_uni,I6,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
KOR_uni,I7,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
KOR_uni,I8,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
KOR_uni,I9,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
KOR_uni,I10,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
KOR_uni,I11,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
KOR_uni,I12,Confirmed via secondary reporting; not directly verified with the secretariat.,"No public documentation found at time of assessment.; See parliament website, official publications section."
KOR_uni,I13,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
KOR_uni,I14,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
KOR_uni,I15,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
KOR_uni,I16,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
KOR_uni,I17,"Available in the national language only, no official translation.","See parliament website, official publications section.; No public documentation found at time of assessment.; Reference: most recent annual transparency report."
KOR_uni,I18,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment."
KOR_uni,I19,"Available in the national language only, no official translation.","See parliament website, official publications section."
KOR_uni,I20,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
KOR_uni,I21,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
KOR_uni,I22,"Available in the national language only, no official translation.","See parliament website, official publications section.; No public documentation found at time of assessment.; Illustrative placeholder — not independently verified."
KOR_uni,I23,"Available in the national language only, no official translation.","Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.; See parliament website, official publications section."
KOR_uni,I24,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
KOR_uni,I25,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
KOR_uni,I26,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
KOR_uni,I27,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
KOR_uni,I28,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
KOR_uni,I29,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KOR_uni,I30,Publicly available on the parliament's official website.,"See parliament website, official publications section.; No public documentation found at time of assessment."
KOR_uni,I31,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
