chamber_id,indicator_id,country_context,supporting_evidence
LKA_uni,I1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
LKA_uni,I2,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
LKA_uni,I3,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
LKA_uni,I4,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
LKA_uni,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
LKA_uni,I6,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
LKA_uni,I7,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
LKA_uni,I8,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
LKA_uni,I9,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
LKA_uni,I10,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
LKA_uni,I11,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
LKA_uni,I12,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
LKA_uni,I13,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
LKA_uni,I14,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
LKA_uni,I15,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
LKA_uni,I16,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
LKA_uni,I17,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.; Reference: most recent annual transparency report.
LKA_uni,I18,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; See parliament website, official publications section.; No public documentation found at time of assessment."
LKA_uni,I19,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
LKA_uni,I20,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
LKA_uni,I21,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
LKA_uni,I22,"Available in the national language only, no official translation.","See parliament website, official publications section.; Reference: most recent annual transparency report."
LKA_uni,I23,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
LKA_uni,I24,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
LKA_uni,I25,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment."
LKA_uni,I26,"Available in the national language only, no official translation.","See parliament website, official publications section.; Reference: most recent annual transparency report.; No public documentation found at time of assessment."
LKA_uni,I27,"Available in the national language only, no official translation.","Reference: most recent annual transparency report.; See parliament website, official publications section."
LKA_uni,I28,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
LKA_uni,I29,"Available in the national language only, no official translation.","See parliament website, official publications section.; Illustrative placeholder — not independently verified."
LKA_uni,I30,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
LKA_uni,I31,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
