chamber_id,indicator_id,country_context,supporting_evidence
MNG_uni,I1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
MNG_uni,I2,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MNG_uni,I3,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MNG_uni,I4,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
MNG_uni,I5,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
MNG_uni,I6,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
MNG_uni,I7,"Available in the national language only, no official translation.","See parliament website, official publications section.; Reference: most recent annual transparency report."
MNG_uni,I8,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MNG_uni,I9,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
MNG_uni,I10,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MNG_uni,I11,"Available in the national language only, no official translation.","Reference: most recent annual transparency report.; No public documentation found at time of assessment.; See parliament website, official publications section."
MNG_uni,I12,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
MNG_uni,I13,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MNG_uni,I14,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
MNG_uni,I15,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Reference: most recent annual transparency report."
MNG_uni,I16,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
MNG_uni,I17,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MNG_uni,I18,Publicly available on the parliament's official website.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
MNG_uni,I19,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
MNG_uni,I20,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
MNG_uni,I21,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
MNG_uni,I22,"Available in the national language only, no official translation.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
MNG_uni,I23,"Available in the national language only, no official translation.","See parliament website, official publications section.; Reference: most recent annual transparency report."
MNG_uni,I24,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
MNG_uni,I25,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
MNG_uni,I26,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
MNG_uni,I27,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MNG_uni,I28,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
MNG_uni,I29,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
MNG_uni,I30,"Provided only upon formal request, not proactively disclosed.","No public documentation found at time of assessment.; See parliament website, official publications section."
MNG_uni,I31,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
