chamber_id,indicator_id,country_context,supporting_evidence
MYS_low,I1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
MYS_low,I2,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
MYS_low,I3,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
MYS_low,I4,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
MYS_low,I5,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MYS_low,I6,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
MYS_low,I7,Publicly available on the parliament's official website.,"See parliament website, official publications section.; No public documentation found at time of assessment."
MYS_low,I8,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
MYS_low,I9,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
MYS_low,I10,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
MYS_low,I11,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
MYS_low,I12,"Provided only upon formal request, not proactively disclosed.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
MYS_low,I13,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
MYS_low,I14,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
MYS_low,I15,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
MYS_low,I16,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
MYS_low,I17,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
MYS_low,I18,Practice varies by session; not consistently applied.,"No public documentation found at time of assessment.; See parliament website, official publications section."
MYS_low,I19,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
MYS_low,I20,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
MYS_low,I21,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
MYS_low,I22,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
MYS_low,I23,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.; See parliament website, official publications section."
MYS_low,I24,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
MYS_low,I25,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
MYS_low,I26,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.; No public documentation found at time of assessment.
MYS_low,I27,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
MYS_low,I28,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
MYS_low,I29,"Available in the national language only, no official translation.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
MYS_low,I30,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MYS_low,I31,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
