response_id,chamber_id,question_id,selected_option_ids
MYS_up_0341,MYS_up,Q1.1,O0002
MYS_up_0342,MYS_up,Q1.2,O0005
MYS_up_0343,MYS_up,Q2.1,O0009
MYS_up_0344,MYS_up,Q2.2,O0011
MYS_up_0345,MYS_up,Q3.1,O0013
MYS_up_0346,MYS_up,Q3.2,O0018
MYS_up_0347,MYS_up,Q4.1,O0019
MYS_up_0348,MYS_up,Q4.2,O0022
MYS_up_0349,MYS_up,Q5.1,O0026
MYS_up_0350,MYS_up,Q5.2,O0028
MYS_up_0351,MYS_up,Q6.1,O0032
MYS_up_0352,MYS_up,Q6.2,O0036
MYS_up_0353,MYS_up,Q7.1,O0038
MYS_up_0354,MYS_up,Q7.2,O0040
MYS_up_0355,MYS_up,Q8.1,O0043
MYS_up_0356,MYS_up,Q8.2,O0046
MYS_up_0357,MYS_up,Q9.1,O0049
MYS_up_0358,MYS_up,Q9.2,O0054
MYS_up_0359,MYS_up,Q10.1,O0055;O0056;O0057
MYS_up_0360,MYS_up,Q10.2,O0061
MYS_up_0361,MYS_up,Q10.3,O0065
MYS_up_0362,MYS_up,Q11.1,O0071
MYS_up_0363,MYS_up,Q11.2,O0072
MYS_up_0364,MYS_up,Q11.3,O0078
MYS_up_0365,MYS_up,Q12.1,O0080
MYS_up_0366,MYS_up,Q12.2,O0082
MYS_up_0367,MYS_up,Q13.1,O0085
MYS_up_0368,MYS_up,Q13.2,O0088
MYS_up_0369,MYS_up,Q14.1,O0091
MYS_up_0370,MYS_up,Q15.1,O0094
MYS_up_0371,MYS_up,Q15.2,O0099
MYS_up_0372,MYS_up,Q16.1,O0104
MYS_up_0373,MYS_up,Q16.2,O0106
MYS_up_0374,MYS_up,Q17.1,O0108
MYS_up_0375,MYS_up,Q17.2,O0111
MYS_up_0376,MYS_up,Q17.3,O0118
MYS_up_0377,MYS_up,Q18.1,O0120
MYS_up_0378,MYS_up,Q18.2,O0125
MYS_up_0379,MYS_up,Q18.3,O0130
MYS_up_0380,MYS_up,Q19.1,O0132
MYS_up_0381,MYS_up,Q20.1,O0135
MYS_up_0382,MYS_up,Q20.2,O0138
MYS_up_0383,MYS_up,Q21.1,O0144
MYS_up_0384,MYS_up,Q21.2,O0147
MYS_up_0385,MYS_up,Q22.1,O0150
MYS_up_0386,MYS_up,Q22.2,O0154
MYS_up_0387,MYS_up,Q22.3,O0157
MYS_up_0388,MYS_up,Q23.1,O0162
MYS_up_0389,MYS_up,Q23.2,O0164
MYS_up_0390,MYS_up,Q23.3,O0171
MYS_up_0391,MYS_up,Q24.1,O0173
MYS_up_0392,MYS_up,Q24.2,O0176
MYS_up_0393,MYS_up,Q25.1,O0181;O0182
MYS_up_0394,MYS_up,Q25.2,O0188
MYS_up_0395,MYS_up,Q25.3,O0190
MYS_up_0396,MYS_up,Q26.1,O0193
MYS_up_0397,MYS_up,Q26.2,O0196
MYS_up_0398,MYS_up,Q26.3,O0204
MYS_up_0399,MYS_up,Q27.1,O0205;O0206
MYS_up_0400,MYS_up,Q27.2,O0210
MYS_up_0401,MYS_up,Q28.1,O0213
MYS_up_0402,MYS_up,Q29.1,O0217;O0218
MYS_up_0403,MYS_up,Q29.2,O0225
MYS_up_0404,MYS_up,Q30.1,O0227
MYS_up_0405,MYS_up,Q30.2,O0233
MYS_up_0406,MYS_up,Q30.3,O0236
MYS_up_0407,MYS_up,Q31.1,O0237
MYS_up_0408,MYS_up,Q31.2,O0241
