chamber_id,indicator_id,country_context,supporting_evidence
PHL_up,I1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
PHL_up,I2,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
PHL_up,I3,"Available in the national language only, no official translation.","Reference: most recent annual transparency report.; See parliament website, official publications section."
PHL_up,I4,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
PHL_up,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; No public documentation found at time of assessment."
PHL_up,I6,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
PHL_up,I7,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
PHL_up,I8,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
PHL_up,I9,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
PHL_up,I10,Practice varies by session; not consistently applied.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
PHL_up,I11,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
PHL_up,I12,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
PHL_up,I13,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
PHL_up,I14,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
PHL_up,I15,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
PHL_up,I16,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
PHL_up,I17,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
PHL_up,I18,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
PHL_up,I19,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
PHL_up,I20,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
PHL_up,I21,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
PHL_up,I22,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
PHL_up,I23,Publicly available on the parliament's official website.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section.; No public documentation found at time of assessment."
PHL_up,I24,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
PHL_up,I25,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
PHL_up,I26,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
PHL_up,I27,Publicly available on the parliament's official website.,"See parliament website, official publications section.; No public documentation found at time of assessment."
PHL_up,I28,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
PHL_up,I29,Practice varies by session; not consistently applied.,"No public documentation found at time of assessment.; See parliament website, official publications section."
PHL_up,I30,"Provided only upon formal request, not proactively disclosed.","Reference: most recent annual transparency report.; See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
PHL_up,I31,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified."
