chamber_id,indicator_id,country_context,supporting_evidence
THA_low,I1,"[formal parliamentary procedures] 
Laws and regulations governing the ethics of Thai parliamentarians consist of several different regulations–including internal parliamentary regulations such as Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2563 (2020), 
Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2553 (2010), Regulations on the Code of Ethics for Members of the Senate and Committees, B.E. 2563 (2020), Regulations on the Code of Ethics for Members of the National Legislative Assembly and Committees, B.E. 2558 (2015)
 and regulations issued by other independent organisations such as Ethical Standards of the Constitution Court Judges and Holders of Positions in Independent Agencies, the State Audit Office Auditor-General, and Heads of Constitutional Court and Independent Agency Administrative Units, B.E. 2561
 
[actual parliamentary practice]
Thai MPs are punished more severely and extensively under the ethical standards of independent organizations rather than under parliamentary regulations, as parliamentary regulations are often perceived as a form of internal review or broad meeting etiquettes, which in practice remains rarely punitive. In contrast, standards enforced by independent  organizations are used as the primary tool for removing politicians from the system.","Source 1: ข้อบังคับการประชุมรัฐสภา พ.ศ. ๒๕๖๓ 
Source 2 : มาตรฐานทางจริยธรรมของ ตุลาการศาลรัฐธรรมนูญ และผู้ดํารงตําแหน่งในองค์กรอิสระ รวมทั้งผู้ว่าการตรวจเงินแผ่นดิน และหัวหน้าหน่วยงานธุรการของศาลรัฐธรรมนูญและองค์กรอิสระ พ.ศ. ๒๕๖๑"
THA_low,I2,"[formal parliamentary procedures], while conflict of interest is illegal per Article 184 and 185 of the 2017 Constitution of Thailand and Article 8 and 9 of 2020 Parliamentary Procedure Regulations, the information besides assets upon taking and leaving office is not disclosed to the public.",
THA_low,I3,"[formal parliamentary procedures] 
- Regulations by the Office of the Nation Anti-Corruption Commission's [an independent external organisation that does not report to the parliament] require MPs, their spouses, and minor children to disclose their assets twice throughout their terms: once upon taking office and once on leaving office. Changes to assets are not immediately disclosed during their terms.
- While the information on the assets is disclosed at the NACC office, it is only published online for only one year,  and therefore not accessible by the general public after the first year unless a request is filed at the NACC.",Source 1: https://asset.nacc.go.th/dcs-app/ ระบบเปิดเผยบัญชีทรัพย์สินและหนี้สิน (DCS)
THA_low,I4,"[formal parliamentary procedures] 
there are channels to contact parliamentary support units for complaints and queries via their numbers, e-portals, and emails, but there isn't any measure instilled to ensure whether or how the queries will be handled.

Contact information for individual MPs is not provided.",Source 1: สำนักงานเลขาธิการสภาผู้แทนราษฎร
THA_low,I5,Pre-scrutiny is mandatory and conducted by parliamentary support units.,"Source 1: https://www.parliament.go.th/view/10/authority_and_responsibilities/TH-TH 
Source 2: https://www.parliament.go.th/view/9/อำนาจหน้าที่_วิสัยทัศน์_พันธกิจ_ยุทธศาสตร์/TH-TH"
THA_low,I6,"[formal parliamentary procedures] 
post-legislative scrutiny is mandated by the The 2017 Constitution of Thailand under article 77, but traditionally carried out by government agencies, not executed by parliament or MPs per Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019)
""When the law has come into force, the State should undertake an evaluation of the outcomes of the
law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 
The duty falls under the executive branch.",
THA_low,I7,"[formal parliamentary procedures]
Thai The 2017 Constitution of Thailand article 77 Paragraph 2 ""Prior to the enactment of every law, the State should conduct consultation with stakeholders, analyse any impacts that may occur from the law thoroughly and systematically, and should also disclose the results of the consultation and analysis to the public, and take them into consideration at every stage of the legislative process""

public hearing and and feedback report on each hearing is available on its own site https://www.parliament.go.th/article77/index.php 
Aside from the online portal, public hearing is also conducted in affected areas for some bills as well. 


[actual parliamentary practice]
The feedback provided by the public during the hearing is not legally binding.","source 1: https://www.parliament.go.th/article77/index.php   
source 2: ปัญหากระบวนการรับฟังความคิดเห็นในการตรากฎหมายตามมาตรา 77 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560"
THA_low,I8,Feedback during parliamentary review or committee stages occur through invitation.,
THA_low,I9,"[formal parliamentary procedures]- Per The 2017 Constitution of Thailand article 77  ""When the law has come into force, the State should undertake an evaluation of the outcomes of the law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 

Public consultation process can be included in the post-enactment review reporting, but is determined by government agencies via The Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019), and is not applicable to all laws.",
THA_low,I10,only the name list and party is provided,
