chamber_id,indicator_id,country_context,supporting_evidence
THA_up,I1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
THA_up,I2,"Available in the national language only, no official translation.","See parliament website, official publications section."
THA_up,I3,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; No public documentation found at time of assessment."
THA_up,I4,"Available in the national language only, no official translation.","See parliament website, official publications section."
THA_up,I5,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified."
THA_up,I6,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
THA_up,I7,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
THA_up,I8,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
THA_up,I9,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
THA_up,I10,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
THA_up,I11,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports."
THA_up,I12,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
THA_up,I13,Practice varies by session; not consistently applied.,"No public documentation found at time of assessment.; See parliament website, official publications section."
THA_up,I14,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
THA_up,I15,"Provided only upon formal request, not proactively disclosed.","Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
THA_up,I16,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
THA_up,I17,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; No public documentation found at time of assessment.; See parliament website, official publications section."
THA_up,I18,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
THA_up,I19,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
THA_up,I20,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
THA_up,I21,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
THA_up,I22,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
THA_up,I23,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
THA_up,I24,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
THA_up,I25,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
THA_up,I26,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
THA_up,I27,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
THA_up,I28,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
THA_up,I29,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
THA_up,I30,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
THA_up,I31,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
