chamber_id,indicator_id,country_context,supporting_evidence
TWN_uni,I1,"Available in the national language only, no official translation.","See parliament website, official publications section."
TWN_uni,I2,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
TWN_uni,I3,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
TWN_uni,I4,Publicly available on the parliament's official website.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
TWN_uni,I5,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
TWN_uni,I6,Practice varies by session; not consistently applied.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
TWN_uni,I7,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
TWN_uni,I8,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
TWN_uni,I9,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
TWN_uni,I10,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
TWN_uni,I11,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section.; Illustrative placeholder — not independently verified."
TWN_uni,I12,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Reference: most recent annual transparency report."
TWN_uni,I13,Publicly available on the parliament's official website.,"See parliament website, official publications section."
TWN_uni,I14,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
TWN_uni,I15,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
TWN_uni,I16,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
TWN_uni,I17,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
TWN_uni,I18,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.
TWN_uni,I19,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
TWN_uni,I20,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
TWN_uni,I21,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
TWN_uni,I22,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
TWN_uni,I23,Publicly available on the parliament's official website.,"See parliament website, official publications section."
TWN_uni,I24,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
TWN_uni,I25,Publicly available on the parliament's official website.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
TWN_uni,I26,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Illustrative placeholder — not independently verified.
TWN_uni,I27,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
TWN_uni,I28,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
TWN_uni,I29,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
TWN_uni,I30,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
TWN_uni,I31,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
